17								
game	num_players	best_players	duration_mins	play_count	soc_rating	num_ratings	internet_rating	category
221B_Baker_Street:_The_Master_Detective_Game	2-6	2	90	1	0	0	6.0	family thematic mystery
6_Nimmt!	2-10	5-6	45	2	0	0	7.0	family card game
Azul	2-4	2	40	0	0	0	7.7	abstract family
Betrayal_at_House_on_the_Hill	3-6	5-6	60	2	0	0	7.0	dungeon crawler tiles thematic
Bohnanza	2-7	4-5	45	1	0	0	7.1	family card game negotiation
Carcassonne	2-5	2	40	1	0	0	7.4	family territory building tiles
Cash_'N_Guns:_Second_Edition	4-8	6-8	30	1	0	0	6.8	party bluffing negotiation
Codenames:_Pictures	2-8	6	15	1	0	0	7.2	party deduction teams
Coup	2-6	5	15	2	0	0	7.0	party deduction bluffing
Coup:_Reformation	2-10	6	15	0	0	0	7.3	party deduction bluffing
Exploding_Kittens	2-5	4-5	15	1	0	0	6.1	party card game
Munchkin_Deluxe	2-6	4	90	1	0	0	5.9	party thematic card game
One_Night_Ultimate_Werewolf	3-10	6-8	10	1	0	0	7.1	party bluffing deduction
Pandemic	2-4	4	45	1	0	0	7.5	family strategy cooperative
Secret_Hitler	5-10	8/10	45	3	0	0	7.5	party bluffing deduction teams
Splendor	2-4	3	30	1	0	0	7.4	family economic
Ticket_To_Ride:_Europe	2-5	4	45	1	0	0	7.5	family
