18
game	num_players	best_players	duration_mins	play_count	soc_rating	num_ratings	internet_rating	category
221B_Baker_Street:_The_Master_Detective_Game	2-6	2	90	1	0	0	6.0	mystery family thematic 
6_Nimmt!	2-10	5-6	45	2	0	0	7.0	game family card 
Azul	2-4	2	40	0	0	0	7.7	abstract family 
Betrayal_at_House_on_the_Hill	3-6	5-6	60	2	0	0	7.0	tiles crawler dungeon thematic 
Bohnanza	2-7	4-5	45	1	0	0	7.1	game negotiation beans family card 
Carcassonne	2-5	2	40	3	5.6	1	7.4	tiles family building territory 
Cash_'N_Guns:_Second_Edition	4-8	6-8	30	1	0	0	6.8	negotiation party bluffing 
Codenames:_Pictures	2-8	6	15	1	0	0	7.2	deduction teams party 
Coup	2-6	5	15	2	0	0	7.0	deduction party bluffing 
Coup:_Reformation	2-10	6	15	0	0	0	7.3	deduction party bluffing 
Exploding_Kittens	2-5	4-5	15	1	0	0	6.1	game party card 
Munchkin_Deluxe	2-6	4	90	1	0	0	5.9	game party thematic card 
One_Night_Ultimate_Werewolf	3-10	6-8	10	1	0	0	7.1	deduction party bluffing 
Pandemic	2-4	4	45	1	0	0	7.5	family strategy cooperative 
Secret_Hitler	5-10	8/10	45	3	8.3	0	7.5	deduction teams party bluffing 
Splendor	2-4	3	30	1	0	0	7.4	family economic 
Test	4-10	4/6	45	1	5.8	1	10	a test this is 
Ticket_To_Ride:_Europe	2-5	4	45	1	0	0	7.5	family 
